Gene	NPscore	log2FC
Mfn2	0.026181	0.290568
Timm8a1	0.025784	0.405567
Chchd3	0.025773	0.450276
Atpif1	0.025549	-0.273145
Chchd4	0.024773	0.346729
Cox17	0.024370	0.435584
Sox10	0.024022	0.540943
Trmt2b	0.023993	0.214850
P4ha1	0.023368	0.226958
Ckb	0.021919	0.640605
Mapk8ip1	0.021865	0.316582
Abhd10	0.021000	0.272888
Timm10b	0.020810	0.206282
Tomm5	0.020760	0.448255
Acyp2	0.019528	0.378795
Eral1	0.018441	0.230637
Alas2	0.018177	-0.528277
Ciapin1	0.017422	0.447865
Abcg1	0.016871	-0.492927
Macrod1	0.015840	0.258599
Ide	0.014885	0.329137
Isca1	0.014866	0.359041
Bik	0.014838	0.697536
Them4	0.014426	0.440838
Nr4a1	0.014426	0.667283
Stard13	0.014174	0.236186
Ngb	0.012140	1.596073
Acot13	0.012140	0.367942
Mavs	0.011883	0.367204
Hccs	0.011230	0.379635
Pam16	0.011204	0.316153
Tmem177	0.010725	0.294140
Slc27a2	0.010443	1.042683
Akap1	0.010383	0.431431
Tamm41	0.010218	0.287414
Tmem65	0.010047	0.295428
Ecsit	0.009771	0.264073
Mtx2	0.009721	0.304320
Dao	0.008634	-2.154349
Oxnad1	0.008537	0.342453
Pif1	0.008489	-0.787666
Cars2	0.008489	0.289110
Abcb8	0.008489	0.269303
Wasf1	0.008382	-0.495752
Myoc	0.007215	0.401619
Trak2	0.006717	0.270632
Slc25a19	0.005095	0.341937
Ubiad1	0.000000	0.305388
Hap1	0.000000	-0.504286
Coq5	0.000000	0.304472
Coq10a	0.000000	0.391795
Atg4d	0.000000	0.437317
